,action,value
2019-05-10,DIVIDEND,0.77
2019-02-08,DIVIDEND,0.73
2018-11-08,DIVIDEND,0.73
2018-08-10,DIVIDEND,0.73
2018-05-11,DIVIDEND,0.73
2018-02-09,DIVIDEND,0.63
2017-11-10,DIVIDEND,0.63
2017-08-10,DIVIDEND,0.63
2017-05-11,DIVIDEND,0.63
2017-02-09,DIVIDEND,0.57
2016-11-03,DIVIDEND,0.57
2016-08-04,DIVIDEND,0.57
2016-05-05,DIVIDEND,0.57
2016-02-04,DIVIDEND,0.52
2015-11-05,DIVIDEND,0.52
2015-08-06,DIVIDEND,0.52
2015-05-07,DIVIDEND,0.52
2015-02-05,DIVIDEND,0.47
2014-11-06,DIVIDEND,0.47
2014-08-07,DIVIDEND,0.47
2014-06-09,SPLIT,7.0
2014-05-08,DIVIDEND,0.06714285714285713
2014-02-06,DIVIDEND,0.06224428571428571
2013-11-06,DIVIDEND,0.06224428571428571
2013-08-08,DIVIDEND,0.06224428571428571
2013-05-09,DIVIDEND,0.06224428571428571
2013-02-07,DIVIDEND,0.05408142857142857
2012-11-07,DIVIDEND,0.05408142857142857
2012-08-09,DIVIDEND,0.05408142857142857
2005-02-28,SPLIT,2.0
2000-06-21,SPLIT,2.0
